Order ID,Order Date,Ship Date,Address,State,Ship Mode ID,Customer ID
CA-2017-109806,2017-09-17,2017-09-22,"United States, Los Angeles, 90036.0",California,S3,JS-15685
CA-2016-149587,2016-01-31,2016-02-05,"United States, Minneapolis, 55407.0",Minnesota,S2,KB-16315
US-2018-109484,2018-11-06,2018-11-12,"United States, Portland, 97206.0",Oregon,S3,RB-19705
CA-2018-161018,2018-11-09,2018-11-11,"United States, New York City, 10009.0",New York,S2,PN-18775
CA-2018-157833,2018-06-17,2018-06-20,"United States, San Francisco, 94122.0",California,S1,KD-16345
CA-2017-149223,2017-09-06,2017-09-11,"United States, Saint Paul, 55106.0",Minnesota,S3,ER-13855
CA-2017-158568,2017-08-29,2017-09-02,"United States, Chicago, 60610.0",Illinois,S3,RB-19465
CA-2017-129903,2017-12-01,2017-12-04,"United States, Rochester, 55901.0",Minnesota,S2,GZ-14470
US-2016-156867,2016-11-13,2016-11-17,"United States, Aurora, 80013.0",Colorado,S3,LC-16870
CA-2018-119004,2018-11-23,2018-11-28,"United States, Charlotte, 28205.0",North Carolina,S3,JM-15250
CA-2016-129476,2016-10-15,2016-10-20,"United States, Orland Park, 60462.0",Illinois,S3,PA-19060
CA-2018-146780,2018-12-25,2018-12-30,"United States, New York City, 10035.0",New York,S3,CV-12805
CA-2017-128867,2017-11-03,2017-11-10,"United States, Urbandale, 50322.0",Iowa,S3,CL-12565
CA-2015-115259,2015-08-25,2015-08-27,"United States, Columbus, 43229.0",Ohio,S2,RC-19960
CA-2016-110457,2016-03-02,2016-03-06,"United States, Seattle, 98103.0",Washington,S3,DK-13090
US-2016-136476,2016-04-05,2016-04-10,"United States, Bristol, 37620.0",Tennessee,S3,GG-14650
CA-2017-103730,2017-06-12,2017-06-15,"United States, Wilmington, 19805.0",Delaware,S1,SC-20725
US-2015-152030,2015-12-26,2015-12-28,"United States, Houston, 77041.0",Texas,S2,AD-10180
US-2015-134614,2015-09-20,2015-09-25,"United States, Bloomington, 61701.0",Illinois,S3,PF-19165
US-2018-107272,2018-11-05,2018-11-12,"United States, Phoenix, 85023.0",Arizona,S3,TS-21610
US-2017-125969,2017-11-06,2017-11-10,"United States, Los Angeles, 90004.0",California,S2,LS-16975
US-2018-164147,2018-02-02,2018-02-05,"United States, Columbus, 43229.0",Ohio,S1,DW-13585
CA-2017-145583,2017-10-13,2017-10-19,"United States, Roseville, 95661.0",California,S3,LC-16885
CA-2017-110366,2017-09-05,2017-09-07,"United States, Philadelphia, 19140.0",Pennsylvania,S2,JD-15895
CA-2018-106180,2018-09-18,2018-09-23,"United States, San Francisco, 94122.0",California,S3,SH-19975
CA-2018-155376,2018-12-22,2018-12-27,"United States, Independence, 64055.0",Missouri,S3,SG-20080
CA-2016-110744,2016-09-07,2016-09-12,"United States, Pasadena, 91104.0",California,S3,HA-14920
CA-2015-110072,2015-10-22,2015-10-28,"United States, Newark, 43055.0",Ohio,S3,MG-17680
CA-2017-114489,2017-12-05,2017-12-09,"United States, Franklin, 53132.0",Wisconsin,S3,JE-16165
CA-2017-158834,2017-03-13,2017-03-16,"United States, Scottsdale, 85254.0",Arizona,S1,TW-21025
CA-2016-124919,2016-05-31,2016-06-02,"United States, San Jose, 95123.0",California,S1,SP-20650
CA-2016-118948,2016-05-28,2016-06-03,"United States, Seattle, 98105.0",Washington,S3,NK-18490
CA-2015-104269,2015-03-01,2015-03-06,"United States, Seattle, 98115.0",Washington,S2,DB-13060
CA-2017-114104,2017-11-20,2017-11-24,"United States, Edmond, 73034.0",Oklahoma,S3,NP-18670
CA-2017-162733,2017-05-11,2017-05-12,"United States, Los Angeles, 90045.0",California,S1,TT-21070
CA-2016-119697,2016-12-28,2016-12-31,"United States, Philadelphia, 19134.0",Pennsylvania,S2,EM-13960
CA-2017-154508,2017-11-16,2017-11-20,"United States, Carlsbad, 88220.0",New Mexico,S3,RD-19900
CA-2017-113817,2017-11-07,2017-11-11,"United States, Seattle, 98115.0",Washington,S3,MJ-17740
CA-2015-139892,2015-09-08,2015-09-12,"United States, San Antonio, 78207.0",Texas,S3,BM-11140
CA-2015-118962,2015-08-05,2015-08-09,"United States, Los Angeles, 90004.0",California,S3,CS-12130
US-2015-100853,2015-09-14,2015-09-19,"United States, Chicago, 60623.0",Illinois,S3,JB-15400
US-2018-152366,2018-04-21,2018-04-25,"United States, Houston, 77036.0",Texas,S2,SJ-20500
US-2016-101511,2016-11-21,2016-11-23,"United States, Newark, 43055.0",Ohio,S2,JE-15745
CA-2016-137225,2016-12-15,2016-12-19,"United States, New York City, 10009.0",New York,S3,JK-15640
CA-2015-166191,2015-12-05,2015-12-09,"United States, Decatur, 62521.0",Illinois,S2,DK-13150
CA-2015-158274,2015-11-19,2015-11-24,"United States, Monroe, 71203.0",Louisiana,S2,RM-19675
CA-2017-105018,2017-11-28,2017-12-02,"United States, Fairfield, 6824.0",Connecticut,S3,SK-19990
CA-2015-123260,2015-08-26,2015-08-30,"United States, Los Angeles, 90032.0",California,S3,FM-14290
CA-2017-157000,2017-07-16,2017-07-22,"United States, Grand Prairie, 75051.0",Texas,S3,AM-10360
CA-2016-102281,2016-10-12,2016-10-14,"United States, New York City, 10035.0",New York,S1,MP-17470
CA-2016-131457,2016-10-31,2016-11-06,"United States, Redlands, 92374.0",California,S3,MZ-17515
CA-2015-140004,2015-03-21,2015-03-25,"United States, Hamilton, 45011.0",Ohio,S3,CB-12025
CA-2018-107720,2018-11-06,2018-11-13,"United States, Westfield, 7090.0",New Jersey,S3,VM-21685
US-2018-124303,2018-07-06,2018-07-13,"United States, Philadelphia, 19120.0",Pennsylvania,S3,FH-14365
CA-2018-105074,2018-06-24,2018-06-29,"United States, Akron, 44312.0",Ohio,S3,MB-17305
CA-2015-133690,2015-08-03,2015-08-05,"United States, Denver, 80219.0",Colorado,S1,BS-11755
US-2018-116701,2018-12-17,2018-12-21,"United States, Dallas, 75220.0",Texas,S2,LC-17140
CA-2018-126382,2018-06-03,2018-06-07,"United States, Franklin, 37064.0",Tennessee,S3,HK-14890
CA-2018-108329,2018-12-09,2018-12-14,"United States, Whittier, 90604.0",California,S3,LE-16810
CA-2018-135860,2018-12-01,2018-12-07,"United States, Saginaw, 48601.0",Michigan,S3,JH-15985
CA-2016-101007,2016-02-09,2016-02-13,"United States, Dallas, 75220.0",Texas,S2,MS-17980
CA-2016-146262,2016-01-02,2016-01-09,"United States, Medina, 44256.0",Ohio,S3,VW-21775
CA-2017-130162,2017-10-28,2017-11-01,"United States, Los Angeles, 90032.0",California,S3,JH-15910
CA-2016-169397,2016-12-24,2016-12-27,"United States, Dublin, 43017.0",Ohio,S1,JB-15925
CA-2016-163055,2016-08-09,2016-08-16,"United States, Detroit, 48227.0",Michigan,S3,DS-13180
US-2016-145436,2016-02-28,2016-03-04,"United States, Columbia, 38401.0",Tennessee,S3,VD-21670
US-2015-156216,2015-09-13,2015-09-17,"United States, Charlotte, 28205.0",North Carolina,S3,EA-14035
US-2018-100930,2018-04-07,2018-04-12,"United States, Tampa, 33614.0",Florida,S3,CS-12400
CA-2018-160514,2018-11-12,2018-11-16,"United States, Santa Clara, 95051.0",California,S3,DB-13120
CA-2017-157749,2017-06-04,2017-06-09,"United States, Chicago, 60610.0",Illinois,S2,KL-16645
CA-2015-131926,2015-06-01,2015-06-06,"United States, Lakeville, 55044.0",Minnesota,S2,DW-13480
CA-2017-154739,2017-12-10,2017-12-15,"United States, San Francisco, 94109.0",California,S2,LH-17155
CA-2017-145625,2017-09-11,2017-09-17,"United States, San Diego, 92037.0",California,S3,KC-16540
CA-2017-146941,2017-12-10,2017-12-13,"United States, New York City, 10024.0",New York,S1,DL-13315
US-2016-159982,2016-11-28,2016-12-04,"United States, Chicago, 60623.0",Illinois,S3,DR-12880
CA-2018-163139,2018-12-01,2018-12-03,"United States, New York City, 10009.0",New York,S2,CC-12670
US-2018-155299,2018-06-08,2018-06-12,"United States, Pasadena, 77506.0",Texas,S3,Dl-13600
US-2015-106992,2015-09-19,2015-09-21,"United States, Houston, 77036.0",Texas,S2,SB-20290
CA-2017-125318,2017-06-06,2017-06-13,"United States, Chicago, 60610.0",Illinois,S3,RC-19825
CA-2016-155040,2016-11-10,2016-11-15,"United States, Brentwood, 94513.0",California,S3,AH-10210
CA-2018-136826,2018-06-16,2018-06-20,"United States, Chapel Hill, 27514.0",North Carolina,S3,CB-12535
CA-2017-111010,2017-01-22,2017-01-28,"United States, Morristown, 7960.0",New Jersey,S3,PG-18895
US-2018-145366,2018-12-09,2018-12-13,"United States, Cincinnati, 45231.0",Ohio,S3,CA-12310
CA-2018-163979,2018-12-28,2019-01-02,"United States, San Francisco, 94110.0",California,S2,KH-16690
CA-2016-155334,2016-07-30,2016-07-31,"United States, San Francisco, 94109.0",California,S1,HA-14920
CA-2018-118136,2018-09-16,2018-09-17,"United States, Inglewood, 90301.0",California,S1,BB-10990
CA-2018-132976,2018-10-13,2018-10-17,"United States, Philadelphia, 19140.0",Pennsylvania,S3,AG-10495
US-2016-161991,2016-09-26,2016-09-28,"United States, Houston, 77070.0",Texas,S2,SC-20725
CA-2016-130890,2016-11-02,2016-11-06,"United States, Los Angeles, 90004.0",California,S3,JO-15280
CA-2016-130883,2016-09-26,2016-10-02,"United States, Portland, 97206.0",Oregon,S3,TB-21520
CA-2017-112697,2017-12-18,2017-12-20,"United States, Tamarac, 33319.0",Florida,S2,AH-10195
CA-2017-110772,2017-11-20,2017-11-24,"United States, Columbus, 43229.0",Ohio,S2,NZ-18565
CA-2015-111451,2015-12-26,2015-12-28,"United States, Colorado Springs, 80906.0",Colorado,S1,KL-16555
CA-2017-142545,2017-10-28,2017-11-03,"United States, Belleville, 7109.0",New Jersey,S3,JD-15895
US-2018-152380,2018-11-19,2018-11-23,"United States, Chicago, 60623.0",Illinois,S3,JH-15910
CA-2016-144253,2016-05-04,2016-05-09,"United States, New York City, 10024.0",New York,S2,AS-10225
CA-2015-130960,2015-12-30,2016-01-04,"United States, Taylor, 48180.0",Michigan,S3,KB-16600
CA-2015-111003,2015-06-01,2015-06-06,"United States, Lakewood, 8701.0",New Jersey,S3,CR-12625
CA-2018-126774,2018-04-15,2018-04-17,"United States, Arlington, 22204.0",Virginia,S1,SH-20395
CA-2017-142902,2017-09-12,2017-09-14,"United States, Arvada, 80004.0",Colorado,S2,BP-11185
CA-2015-120887,2015-09-27,2015-10-03,"United States, Hackensack, 7601.0",New Jersey,S3,TS-21205
CA-2015-167850,2015-08-09,2015-08-16,"United States, Saint Petersburg, 33710.0",Florida,S3,AG-10525
CA-2015-164259,2015-12-28,2015-12-30,"United States, Philadelphia, 19143.0",Pennsylvania,S1,SP-20860
CA-2015-164973,2015-11-04,2015-11-09,"United States, New York City, 10024.0",New York,S3,NM-18445
CA-2015-156601,2015-09-19,2015-09-24,"United States, Long Beach, 90805.0",California,S3,FA-14230
CA-2017-162138,2017-04-23,2017-04-27,"United States, Hesperia, 92345.0",California,S3,GK-14620
CA-2018-153339,2018-11-03,2018-11-05,"United States, Murfreesboro, 37130.0",Tennessee,S2,DJ-13510
US-2017-141544,2017-08-30,2017-09-01,"United States, Philadelphia, 19143.0",Pennsylvania,S1,PO-18850
US-2017-150147,2017-04-25,2017-04-29,"United States, Philadelphia, 19134.0",Pennsylvania,S2,JL-15850
CA-2016-137946,2016-09-01,2016-09-04,"United States, Los Angeles, 90045.0",California,S2,DB-13615
CA-2015-129924,2015-07-12,2015-07-17,"United States, San Francisco, 94122.0",California,S3,AC-10420
CA-2016-128167,2016-06-22,2016-06-26,"United States, Layton, 84041.0",Utah,S2,KL-16645
CA-2015-122336,2015-04-13,2015-04-17,"United States, Philadelphia, 19140.0",Pennsylvania,S2,JD-15895
US-2016-120712,2016-12-20,2016-12-24,"United States, Austin, 78745.0",Texas,S3,CS-12130
CA-2018-169901,2018-06-15,2018-06-19,"United States, San Francisco, 94122.0",California,S3,CC-12550
CA-2018-134306,2018-07-08,2018-07-12,"United States, Lowell, 1852.0",Massachusetts,S3,TD-20995
CA-2017-129714,2017-09-01,2017-09-03,"United States, New York City, 10009.0",New York,S1,AB-10060
CA-2017-138520,2017-04-08,2017-04-13,"United States, New York City, 10035.0",New York,S3,JL-15505
CA-2017-130001,2017-04-23,2017-04-28,"United States, Charlotte, 28205.0",North Carolina,S3,HK-14890
CA-2018-155698,2018-03-08,2018-03-11,"United States, Columbus, 31907.0",Georgia,S1,VB-21745
CA-2018-144904,2018-09-25,2018-10-01,"United States, New York City, 10009.0",New York,S3,KW-16435
CA-2015-123344,2015-09-24,2015-09-29,"United States, San Francisco, 94109.0",California,S3,JD-16060
CA-2017-155516,2017-10-21,2017-10-21,"United States, Manchester, 6040.0",Connecticut,S0,MK-17905
CA-2018-104745,2018-05-29,2018-06-04,"United States, Harlingen, 78550.0",Texas,S3,GT-14755
US-2015-119137,2015-07-23,2015-07-27,"United States, Tucson, 85705.0",Arizona,S3,AG-10900
US-2017-134656,2017-09-28,2017-10-01,"United States, Quincy, 62301.0",Illinois,S1,MM-18280
US-2018-134481,2018-08-27,2018-09-01,"United States, Franklin, 2038.0",Massachusetts,S3,AR-10405
CA-2016-130792,2016-04-28,2016-05-05,"United States, Houston, 77095.0",Texas,S3,RA-19915
CA-2017-134775,2017-10-28,2017-10-29,"United States, San Francisco, 94109.0",California,S1,AS-10285
CA-2016-125395,2016-06-26,2016-06-29,"United States, Taylor, 48180.0",Michigan,S2,LA-16780
US-2016-168935,2016-11-27,2016-12-02,"United States, Pembroke Pines, 33024.0",Florida,S3,DO-13435
CA-2016-122756,2016-12-03,2016-12-07,"United States, Philadelphia, 19140.0",Pennsylvania,S3,DK-13225
CA-2015-115973,2015-11-24,2015-11-26,"United States, Cincinnati, 45231.0",Ohio,S1,NG-18430
CA-2018-101798,2018-12-11,2018-12-15,"United States, New York City, 10009.0",New York,S3,MV-18190
US-2015-135972,2015-09-21,2015-09-23,"United States, Des Moines, 98198.0",Washington,S2,JG-15115
US-2015-134971,2015-06-07,2015-06-10,"United States, Peoria, 61604.0",Illinois,S2,BP-11095
CA-2018-102946,2018-06-30,2018-07-05,"United States, Las Vegas, 89115.0",Nevada,S3,VP-21730
CA-2018-165603,2018-10-17,2018-10-19,"United States, Warwick, 2886.0",Rhode Island,S2,SS-20140
CA-2016-122259,2016-10-31,2016-11-04,"United States, Jackson, 49201.0",Michigan,S3,HP-14815
CA-2017-108987,2017-09-08,2017-09-10,"United States, Houston, 77036.0",Texas,S2,AG-10675
CA-2015-113166,2015-12-24,2015-12-26,"United States, Miami, 33180.0",Florida,S1,LF-17185
CA-2015-155208,2015-04-16,2015-04-20,"United States, Wilmington, 28403.0",North Carolina,S3,SP-20650
CA-2018-117933,2018-12-24,2018-12-29,"United States, New York City, 10024.0",New York,S3,RF-19840
CA-2018-117457,2018-12-08,2018-12-12,"United States, San Francisco, 94110.0",California,S3,KH-16510
CA-2018-142636,2018-11-03,2018-11-07,"United States, Seattle, 98105.0",Washington,S3,KC-16675
CA-2018-122105,2018-06-24,2018-06-28,"United States, Huntington Beach, 92646.0",California,S3,CJ-12010
CA-2017-148796,2017-04-14,2017-04-18,"United States, Los Angeles, 90004.0",California,S3,PB-19150
CA-2018-154816,2018-11-06,2018-11-10,"United States, Richmond, 40475.0",Kentucky,S3,VB-21745
CA-2018-110478,2018-03-04,2018-03-09,"United States, Los Angeles, 90045.0",California,S3,SP-20860
CA-2015-142048,2015-06-22,2015-06-25,"United States, Louisville, 80027.0",Colorado,S1,JE-15745
CA-2018-125388,2018-10-19,2018-10-23,"United States, Lawrence, 1841.0",Massachusetts,S3,MP-17965
CA-2018-155705,2018-08-21,2018-08-23,"United States, Jackson, 39212.0",Mississippi,S2,NF-18385
CA-2018-149160,2018-11-23,2018-11-26,"United States, Canton, 48187.0",Michigan,S2,JM-15265
CA-2015-101476,2015-09-12,2015-09-13,"United States, New Rochelle, 10801.0",New York,S1,SD-20485
CA-2018-152275,2018-10-01,2018-10-08,"United States, San Antonio, 78207.0",Texas,S3,KH-16630
US-2017-123750,2017-04-15,2017-04-21,"United States, Gastonia, 28052.0",North Carolina,S3,RB-19795
CA-2017-127369,2017-06-06,2017-06-07,"United States, Lowell, 1852.0",Massachusetts,S1,DB-13060
US-2015-150574,2015-12-19,2015-12-25,"United States, Jacksonville, 32216.0",Florida,S3,MK-18160
CA-2017-147375,2017-06-12,2017-06-14,"United States, Chicago, 60623.0",Illinois,S2,PO-19180
CA-2018-130043,2018-09-15,2018-09-19,"United States, Houston, 77070.0",Texas,S3,BB-11545
CA-2018-157252,2018-01-20,2018-01-23,"United States, New York City, 10024.0",New York,S2,CV-12805
CA-2017-115756,2017-09-05,2017-09-07,"United States, Detroit, 48227.0",Michigan,S2,PK-19075
CA-2018-154214,2018-03-20,2018-03-25,"United States, Columbus, 47201.0",Indiana,S2,TB-21595
CA-2017-166674,2017-04-01,2017-04-03,"United States, Auburn, 13021.0",New York,S2,RB-19360
CA-2018-147277,2018-10-20,2018-10-24,"United States, Akron, 44312.0",Ohio,S3,EB-13705
CA-2017-100153,2017-12-13,2017-12-17,"United States, Norman, 73071.0",Oklahoma,S3,KH-16630
US-2015-110674,2015-02-12,2015-02-18,"United States, Concord, 94521.0",California,S3,SC-20095
US-2017-157945,2017-09-26,2017-10-01,"United States, Decatur, 62521.0",Illinois,S3,NF-18385
CA-2016-109638,2016-12-15,2016-12-22,"United States, Seattle, 98115.0",Washington,S3,JH-15985
CA-2017-109869,2017-04-22,2017-04-29,"United States, Phoenix, 85023.0",Arizona,S3,TN-21040
US-2016-101399,2016-01-17,2016-01-24,"United States, Park Ridge, 60068.0",Illinois,S3,JS-15940
CA-2018-154907,2018-03-31,2018-04-04,"United States, Amarillo, 79109.0",Texas,S3,DS-13180
US-2017-100419,2017-12-16,2017-12-20,"United States, Chicago, 60610.0",Illinois,S2,CC-12670
CA-2016-154144,2016-12-20,2016-12-24,"United States, Lindenhurst, 11757.0",New York,S3,MH-17785
CA-2015-144666,2015-11-09,2015-11-11,"United States, San Francisco, 94110.0",California,S2,JP-15520
CA-2017-103891,2017-07-12,2017-07-19,"United States, Los Angeles, 90008.0",California,S3,KH-16690
CA-2017-152632,2017-10-27,2017-11-02,"United States, Troy, 12180.0",New York,S3,JE-15475
CA-2017-100790,2017-06-26,2017-07-02,"United States, New York City, 10024.0",New York,S3,JG-15805
CA-2015-134677,2015-10-06,2015-10-10,"United States, San Diego, 92024.0",California,S3,XP-21865
CA-2015-127691,2015-07-22,2015-07-27,"United States, New York City, 10024.0",New York,S3,EM-14065
CA-2018-140963,2018-06-10,2018-06-13,"United States, Los Angeles, 90045.0",California,S1,MT-18070
CA-2015-154627,2015-10-29,2015-10-31,"United States, Chicago, 60610.0",Illinois,S1,SA-20830
CA-2015-133753,2015-06-09,2015-06-13,"United States, Huntsville, 77340.0",Texas,S2,CW-11905
CA-2015-113362,2015-09-14,2015-09-19,"United States, Rochester, 14609.0",New York,S3,AJ-10960
CA-2017-169166,2017-05-09,2017-05-14,"United States, Seattle, 98115.0",Washington,S3,SS-20590
US-2017-120929,2017-03-18,2017-03-21,"United States, Memphis, 38109.0",Tennessee,S2,RO-19780
CA-2016-134782,2016-12-27,2016-12-31,"United States, Fayetteville, 72701.0",Arkansas,S3,MD-17350
CA-2017-126158,2017-07-25,2017-07-31,"United States, Costa Mesa, 92627.0",California,S3,SC-20095
US-2017-105578,2017-05-30,2017-06-04,"United States, Parker, 80134.0",Colorado,S3,MY-17380
CA-2018-134978,2018-11-12,2018-11-15,"United States, New York City, 10024.0",New York,S2,EB-13705
CA-2016-145352,2016-03-16,2016-03-22,"United States, Atlanta, 30318.0",Georgia,S3,CM-12385
CA-2018-135307,2018-11-26,2018-11-27,"United States, Gladstone, 64118.0",Missouri,S1,LS-17245
CA-2017-106341,2017-10-20,2017-10-23,"United States, Newark, 43055.0",Ohio,S1,LF-17185
CA-2018-163405,2018-12-21,2018-12-25,"United States, Los Angeles, 90049.0",California,S3,BN-11515
CA-2018-127432,2018-01-22,2018-01-27,"United States, Great Falls, 59405.0",Montana,S3,AD-10180
CA-2016-157812,2016-03-22,2016-03-26,"United States, Houston, 77041.0",Texas,S3,DB-13210
CA-2018-145142,2018-01-23,2018-01-25,"United States, Detroit, 48234.0",Michigan,S1,MC-17605
US-2017-139486,2017-05-21,2017-05-23,"United States, Los Angeles, 90032.0",California,S1,LH-17155
CA-2016-158792,2016-12-26,2017-01-02,"United States, Lawrence, 1841.0",Massachusetts,S3,BD-11605
CA-2018-113558,2018-10-21,2018-10-26,"United States, Lakeland, 33801.0",Florida,S3,PH-18790
US-2016-138303,2016-09-03,2016-09-07,"United States, Philadelphia, 19134.0",Pennsylvania,S3,MG-18145
CA-2016-102848,2016-11-07,2016-11-09,"United States, Los Angeles, 90036.0",California,S2,KB-16240
US-2018-129441,2018-09-07,2018-09-11,"United States, Los Angeles, 90032.0",California,S3,JC-15340
CA-2017-168753,2017-05-29,2017-06-01,"United States, Montgomery, 36116.0",Alabama,S2,RL-19615
CA-2017-126613,2017-07-10,2017-07-16,"United States, Mesa, 85204.0",Arizona,S3,AA-10375
US-2018-122637,2018-09-03,2018-09-08,"United States, Chicago, 60653.0",Illinois,S2,EP-13915
CA-2016-147851,2016-12-03,2016-12-08,"United States, New York City, 10009.0",New York,S3,MP-17470
CA-2016-134894,2016-12-07,2016-12-11,"United States, Henderson, 42420.0",Kentucky,S3,DK-12985
CA-2015-140795,2015-02-01,2015-02-03,"United States, Green Bay, 54302.0",Wisconsin,S1,BD-11500
CA-2017-136924,2017-07-14,2017-07-17,"United States, Tucson, 85705.0",Arizona,S1,ES-14080
US-2016-120161,2016-12-18,2016-12-23,"United States, Springfield, 45503.0",Ohio,S3,LM-17065
CA-2015-103849,2015-05-11,2015-05-16,"United States, Fort Worth, 76106.0",Texas,S3,PG-18895
CA-2018-162929,2018-11-19,2018-11-22,"United States, New York City, 10035.0",New York,S1,AS-10135
CA-2016-113173,2016-11-15,2016-11-17,"United States, Chicago, 60653.0",Illinois,S2,DK-13225
CA-2017-136406,2017-04-15,2017-04-17,"United States, San Francisco, 94110.0",California,S2,BD-11320
CA-2018-112774,2018-09-11,2018-09-12,"United States, Jacksonville, 32216.0",Florida,S1,RC-19960
CA-2018-101945,2018-11-24,2018-11-28,"United States, Houston, 77070.0",Texas,S3,GT-14710
CA-2018-100650,2018-06-29,2018-07-03,"United States, Anaheim, 92804.0",California,S2,DK-13225
CA-2015-155852,2015-03-03,2015-03-07,"United States, Wilmington, 28403.0",North Carolina,S2,AJ-10945
CA-2017-113243,2017-06-10,2017-06-15,"United States, Los Angeles, 90045.0",California,S3,OT-18730
CA-2018-118731,2018-11-20,2018-11-22,"United States, San Francisco, 94110.0",California,S2,LP-17080
CA-2015-145576,2015-09-14,2015-09-18,"United States, Tampa, 33614.0",Florida,S2,CA-12775
CA-2016-130736,2016-12-07,2016-12-09,"United States, Seattle, 98105.0",Washington,S1,JF-15490
CA-2018-137099,2018-12-07,2018-12-10,"United States, Los Angeles, 90008.0",California,S1,FP-14320
CA-2018-156951,2018-10-01,2018-10-08,"United States, Seattle, 98105.0",Washington,S3,EB-13840
CA-2018-164826,2018-12-28,2019-01-04,"United States, New York City, 10024.0",New York,S3,JF-15415
